AG023.7065-0.1971  7 278.80151  -8.2943   23.7065  -0.19809    1.47   0.48 0.32 0.23   14    1.78 0.3  0.2  -61 N N
AG023.7065-0.1971  8 278.80176  -8.29423  23.70668 -0.19827    2.42   0.87 0.32 0.24   38    3.13 0.3  0.2  -61 N N
AG023.7065-0.1971  9 278.802    -8.29365  23.7073  -0.19822    0.56   0.54 0.21 0.29 -235    0.58 0.3  0.2  -61 N N
AG023.7065-0.1971 10 278.80169  -8.29361  23.70719 -0.19793    2.6    0.74 0.25 0.34 -243    3.63 0.3  0.2  -61 N N
AG023.7065-0.1971 11 278.80172  -8.29356  23.70725 -0.19793    2.08   0.9  0.34 0.21   35    2.49 0.3  0.2  -61 N N
AG023.7110+0.1717  1 278.47413  -8.12088  23.71116  0.1694     0.73   0.32 0.18 0.29  -77    0.66 0.3  0.19 -62 N Y
AG023.7110+0.1717  2 278.47279  -8.12082  23.71059  0.1706     0.56   0.96 0.34 0.27  -41    0.9  0.3  0.19 -62 Y Y
AG023.7110+0.1717  3 278.47345  -8.12069  23.71101  0.17008    2.96   1.24 0.22 0.3   -65    3.48 0.3  0.19 -62 Y Y
AG023.7110+0.1717  4 278.47333  -8.12044  23.71118  0.1703    10.7    1.87 0.32 0.24   27   14.6  0.3  0.19 -62 Y Y
AG023.7110+0.1717  5 278.47331  -8.12014  23.71144  0.17046    1.45   1.21 0.35 0.28   17    2.49 0.3  0.19 -62 Y Y
AG023.7110+0.1717  6 278.47206  -8.11986  23.71111  0.17168    0.52   0.1  0.35 0.28  -14    0.9  0.3  0.19 -62 Y Y
AG023.7110+0.1717  7 278.47223  -8.11983  23.71122  0.17155    0.53   0.21 0.32 0.2    55    0.59 0.3  0.19 -62 Y Y
AG023.7110+0.1717  8 278.47246  -8.11945  23.71166  0.17152    0.69   0.79 0.23 0.18   37    0.51 0.3  0.19 -62 Y Y
AG023.7110+0.1717  9 278.47275  -8.11939  23.71184  0.1713     0.61   0.62 0.31 0.22   22    0.73 0.3  0.19 -62 Y Y
AG023.7110+0.1717 10 278.4715   -8.11869  23.7119   0.17272    1.54   0.76 0.35 0.29   30    2.69 0.3  0.19 -62 N Y
AG023.7110+0.1717 11 278.47153  -8.1186   23.71199  0.17273    2.77   0.76 0.24 0.29 -239    3.32 0.3  0.19 -62 N Y
AG023.7110+0.1717 12 278.47301  -8.12032  23.71114  0.17064    2.83   1.77 0.31 0.21   37    3.23 0.3  0.19 -62 Y Y
AG023.7110+0.1717 13 278.47298  -8.12027  23.71117  0.17069    3.36   1.42 0.44 0.29   57    7.41 0.3  0.19 -62 Y Y
AG023.7110+0.1717 14 278.47299  -8.12019  23.71124  0.17072    1.31   1.01 0.39 0.2    57    1.79 0.3  0.19 -62 Y Y
AG023.7225+0.2600  1 278.40039  -8.07069  23.72202  0.25732    0.51   0.04 0.4  0.32   75    0.52 0.37 0.33 -59 N N
AG023.7405-0.1581  1 278.78235  -8.24897  23.73801 -0.16039    7.24   0.49 0.33 0.24   29    8.02 0.33 0.21 -59 N N
AG023.7405-0.1581  2 278.78287  -8.24515  23.74164 -0.15909    0.44   0.21 0.2  0.32  -45    0.42 0.33 0.21 -59 N N
AG023.7405-0.1581  3 278.78272  -8.24494  23.74176 -0.15886    2.97   0.45 0.36 0.26   27    3.91 0.33 0.21 -59 N N
AG023.7550+0.5597  1 278.14382  -7.90277  23.75375  0.56022    0.77   0.29 0.28 0.19   31    0.65 0.32 0.2  -59 N N
AG023.7550+0.5597  2 278.14379  -7.90263  23.75386  0.56031    0.84   0.04 0.39 0.27   48    1.34 0.32 0.2  -59 N N
AG023.7550+0.5597  3 278.14787  -7.90218  23.75612  0.55693    0.66   0.08 0.23 0.34   97    0.79 0.32 0.2  -59 N N
AG023.7550+0.5597  4 278.14642  -7.90114  23.75638  0.55869    1.91   0.08 0.32 0.22   38    2.11 0.32 0.2  -59 N N
AG023.8262+0.5135  1 278.21896  -7.85611  23.82951  0.51574    1.03  -0.19 0.5  0.33 -125    1.37 0.38 0.33 -56 N N
AG023.8262+0.5135  2 278.2195   -7.8601   23.82621  0.51342    0.71   0.1  0.39 0.31   50    0.69 0.38 0.33 -56 N N
AG023.9527+0.1515  1 278.60401  -7.91394  23.95408  0.15063    0.58   0.56 0.32 0.43   88    0.62 0.38 0.34 -60 Y Y
AG023.9527+0.1515  2 278.59999  -7.91345  23.95268  0.15439   10.17   1.54 0.54 0.45   54   18.9  0.38 0.34 -60 N Y
AG023.9527+0.1515  3 278.60154  -7.91326  23.95356  0.15312    1.92   1.32 0.43 0.53  -86    3.36 0.38 0.34 -60 N Y
AG023.9527+0.1515  4 278.60204  -7.91319  23.95385  0.15271    3.35   0.71 0.4  0.45   90    4.64 0.38 0.34 -60 Y Y
AG023.9527+0.1515  5 278.60121  -7.91321  23.95345  0.15343    0.67   0.69 0.44 0.32   22    0.74 0.38 0.34 -60 N Y
AG023.9527+0.1515  6 278.6023   -7.91306  23.95408  0.15254    0.64   0.81 0.32 0.51  -57    0.82 0.38 0.34 -60 Y Y
AG023.9527+0.1515  7 278.60098  -7.91299  23.95354  0.15373    0.8    0.5  0.46 0.32    9    0.92 0.38 0.34 -60 N Y
AG023.9527+0.1515  8 278.60535  -7.91249  23.95598  0.15013    0.93   0.52 0.43 0.35  -50    1.06 0.38 0.34 -60 Y Y
AG023.9527+0.1515  9 278.60106  -7.91601  23.9509   0.15227    1.02   0.37 0.42 0.51 -252    1.67 0.38 0.34 -60 N Y
