MOUS,ms_url
uid___A001_X146c_Xc8,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xc8/uid___A002_Xeb6c00_Xde7/uid___A002_Xeaff9c_X3727.ms
uid___A001_X146c_Xcc,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xcc/uid___A002_Xe32bed_X3b0/uid___A002_Xe2ada9_Xa4c7.ms
uid___A001_X146c_Xd1,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xd1/uid___A002_Xf6c53e_X2463/uid___A002_Xe539c7_Xff08.ms
uid___A001_X146c_Xd3,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xd3/uid___A002_Xe407cf_X15c4d/uid___A002_Xe34c04_X2e7.ms
uid___A001_X146c_Xd8,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xd8/uid___A002_Xe3da01_X5d44/uid___A002_Xe3da01_X5d44.ms
uid___A001_X146c_Xda,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xda/uid___A002_Xe27761_X4410/uid___A002_Xe247d0_X124b4.ms
uid___A001_X146c_Xe1,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xe1/uid___A002_Xe64b7b_X8881/uid___A002_Xe48598_X103c3.ms
uid___A001_X146c_Xe6,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xe6/uid___A002_Xf82791_Xb21/uid___A002_Xe5ed76_X6d82.ms
uid___A001_X146c_Xe8,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xe8/uid___A002_Xe4f0a6_X647a/uid___A002_Xe48598_X17cee.ms
uid___A001_X146c_Xed,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xed/uid___A002_Xe5ed76_X5aa3/uid___A002_Xe3da01_X4a34.ms
uid___A001_X146c_Xef,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xef/uid___A002_Xe48598_X298e0/uid___A002_Xe2ada9_X7d2e.ms
uid___A001_X146c_Xf2,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xf2/uid___A002_Xeaff9c_X31b6/uid___A002_Xeae3c6_X2b5e.ms
uid___A001_X146c_Xf4,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xf4/uid___A002_Xe34c04_X10e07/uid___A002_Xe34c04_X10e07.ms
uid___A001_X146c_Xf6,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xf6/uid___A002_Xe34c04_Xf76a/uid___A002_Xe247d0_Xaccd.ms
uid___A001_X146c_Xfb,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xfb/uid___A002_Xe3da01_X45e0/uid___A002_Xe3a5fd_X17dd6.ms
uid___A001_X146c_Xfd,https://casdc.china-vo.org/mirror/ALMAGAL/2019.1.00195.L/MS/uid___A001_X146c_Xfd/uid___A002_Xe407cf_X1b7e4/uid___A002_Xe407cf_X14986.ms
