Source_Name,Source_Seq,Source_RA,Source_Dec,Source_GLON,Source_GLAT,Source_Fpeak,Source_Fint,Primary_Target,Primary_Distance_arcsec,Num_Matching_Targets,All_Targets,Primary_FITS
AG023.4373-0.1829,12,278.66353,-8.5276,23.43655,-0.18435,8.36,11.3,104316,5.177989134566892,1,104316,member.uid___A001_X1467_X1e7._104316__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.4373-0.1829,13,278.66358,-8.52753,23.43664,-0.18436,2.28,4.48,104316,5.069786024972561,1,104316,member.uid___A001_X1467_X1e7._104316__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.4407+0.4334,1,278.11099,-8.23922,23.4403,0.43368,0.78,0.85,104344,2.1171649083720534,1,104344,member.uid___A001_X1467_X1e7._104344__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.4407+0.4334,2,278.11121,-8.23905,23.44055,0.43357,0.65,0.58,104344,1.3587490754315987,1,104344,member.uid___A001_X1467_X1e7._104344__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.4564+0.0646,1,278.44975,-8.39836,23.4538,0.06287,7.24,8.32,104431,10.542427148123783,1,104431,member.uid___A001_X1467_X1e7._104431__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.4564+0.0646,2,278.44874,-8.39815,23.45352,0.06385,0.83,0.7,104431,10.163928142564709,1,104431,member.uid___A001_X1467_X1e7._104431__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.4564+0.0646,3,278.45111,-8.39742,23.45526,0.06211,0.8,0.8,104431,9.067730289791525,1,104431,member.uid___A001_X1467_X1e7._104431__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.4564+0.0646,4,278.45144,-8.39721,23.4556,0.06192,2.94,3.82,104431,9.303722234821903,1,104431,member.uid___A001_X1467_X1e7._104431__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.4837+0.0974,1,278.43447,-8.35941,23.4814,0.09425,1.65,1.69,104579,13.398427244513247,1,104579,member.uid___A001_X1467_X1e7._104579__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.4837+0.0974,2,278.43351,-8.35611,23.48389,0.09661,9.21,11.89,104579,2.290896595544271,1,104579,member.uid___A001_X1467_X1e7._104579__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.4837+0.0974,3,278.43378,-8.35594,23.48416,0.09645,0.82,1.62,104579,3.259724937357503,1,104579,member.uid___A001_X1467_X1e7._104579__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.4837+0.0974,4,278.43386,-8.35562,23.48447,0.09653,1.48,2.71,104579,3.836805163997002,1,104579,member.uid___A001_X1467_X1e7._104579__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.4837+0.0974,5,278.43409,-8.35562,23.48458,0.09633,0.67,1.01,104579,4.600679513497768,1,104579,member.uid___A001_X1467_X1e7._104579__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.4837+0.0974,6,278.43458,-8.35517,23.4852,0.0961,10.44,10.39,104579,6.84927415805061,1,104579,member.uid___A001_X1467_X1e7._104579__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.5687+0.0144,1,278.54837,-8.32178,23.56673,0.01159,1.08,0.86,105028,11.750680564473798,1,105028,member.uid___A001_X1467_X1e7._105028__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.5687+0.0144,2,278.54453,-8.31958,23.56694,0.01597,0.73,0.72,105028,8.71862081558776,1,105028,member.uid___A001_X1467_X1e7._105028__sci.spw16_18_20_22.cont.I.pbcor.fits
